2019-10-11 09:29:21.049| main | DEBUG |  -  | Adding type registration character -> org.hibernate.type.CharacterType@3595086b | [org.hibernate.type.BasicTypeRegistry:156]
2019-10-11 09:29:21.050| main | DEBUG |  -  | Adding type registration char -> org.hibernate.type.CharacterType@3595086b | [org.hibernate.type.BasicTypeRegistry:156]
2019-10-11 09:29:21.050| main | DEBUG |  -  | Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@3595086b | [org.hibernate.type.BasicTypeRegistry:156]
2019-10-11 09:29:21.054| main | DEBUG |  -  | Adding type registration short -> org.hibernate.type.ShortType@72e49f6a | [org.hibernate.type.BasicTypeRegistry:156]
2019-10-11 09:29:21.054| main | DEBUG |  -  | Adding type registration short -> org.hibernate.type.ShortType@72e49f6a | [org.hibernate.type.BasicTypeRegistry:156]
2019-10-11 09:29:21.054| main | DEBUG |  -  | Adding type registration java.lang.Short -> org.hibernate.type.ShortType@72e49f6a | [org.hibernate.type.BasicTypeRegistry:156]
2019-10-11 09:29:21.058| main | DEBUG |  -  | Adding type registration integer -> org.hibernate.type.IntegerType@45d38165 | [org.hibernate.type.BasicTypeRegistry:156]
2019-10-11 09:29:21.058| main | DEBUG |  -  | Adding type registration int -> org.hibernate.type.IntegerType@45d38165 | [org.hibernate.type.BasicTypeRegistry:156]
2019-10-11 09:29:21.058| main | DEBUG |  -  | Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@45d38165 | [org.hibernate.type.BasicTypeRegistry:156]
2019-10-11 09:29:21.060| main | DEBUG |  -  | Adding type registration long -> org.hibernate.type.LongType@96be1ae | [org.hibernate.type.BasicTypeRegistry:156]
2019-10-11 09:29:21.061| main | DEBUG |  -  | Adding type registration long -> org.hibernate.type.LongType@96be1ae | [org.hibernate.type.BasicTypeRegistry:156]
2019-10-11 09:29:21.061| main | DEBUG |  -  | Adding type registration java.lang.Long -> org.hibernate.type.LongType@96be1ae | [org.hibernate.type.BasicTypeRegistry:156]
