2019-10-11 09:30:22.457| main | DEBUG |  -  | Adding type registration character -> org.hibernate.type.CharacterType@33399052 | [org.hibernate.type.BasicTypeRegistry:156]
2019-10-11 09:30:22.459| main | DEBUG |  -  | Adding type registration char -> org.hibernate.type.CharacterType@33399052 | [org.hibernate.type.BasicTypeRegistry:156]
2019-10-11 09:30:22.460| main | DEBUG |  -  | Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@33399052 | [org.hibernate.type.BasicTypeRegistry:156]
2019-10-11 09:30:22.463| main | DEBUG |  -  | Adding type registration short -> org.hibernate.type.ShortType@52a75c12 | [org.hibernate.type.BasicTypeRegistry:156]
2019-10-11 09:30:22.464| main | DEBUG |  -  | Adding type registration short -> org.hibernate.type.ShortType@52a75c12 | [org.hibernate.type.BasicTypeRegistry:156]
2019-10-11 09:30:22.465| main | DEBUG |  -  | Adding type registration java.lang.Short -> org.hibernate.type.ShortType@52a75c12 | [org.hibernate.type.BasicTypeRegistry:156]
2019-10-11 09:30:22.468| main | DEBUG |  -  | Adding type registration integer -> org.hibernate.type.IntegerType@37c74e4e | [org.hibernate.type.BasicTypeRegistry:156]
2019-10-11 09:30:22.468| main | DEBUG |  -  | Adding type registration int -> org.hibernate.type.IntegerType@37c74e4e | [org.hibernate.type.BasicTypeRegistry:156]
2019-10-11 09:30:22.468| main | DEBUG |  -  | Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@37c74e4e | [org.hibernate.type.BasicTypeRegistry:156]
2019-10-11 09:30:22.472| main | DEBUG |  -  | Adding type registration long -> org.hibernate.type.LongType@1b732dd | [org.hibernate.type.BasicTypeRegistry:156]
2019-10-11 09:30:22.472| main | DEBUG |  -  | Adding type registration long -> org.hibernate.type.LongType@1b732dd | [org.hibernate.type.BasicTypeRegistry:156]
2019-10-11 09:30:22.473| main | DEBUG |  -  | Adding type registration java.lang.Long -> org.hibernate.type.LongType@1b732dd | [org.hibernate.type.BasicTypeRegistry:156]
2019-10-11 09:30:22.519| main | DEBUG |  -  | Adding type registration float -> org.hibernate.type.FloatType@56f61d74 | [org.hibernate.type.BasicTypeRegistry:156]
